TR1900015	[rxn09269]
TO3000017	[rxn08871]
TO3000138	[rxn05608]
TR1900011	[rxn08169]
TR0000023	[rxn08633]
TR0000021	[rxn12420]
TR0000141	[rxn09172]
TR0000020	[rxn09218]
TR1900017	[rxn08863]
TR0000268	[rxn09330]
TR0000146	[rxn09823]
TR0000388	[rxn09697]
TR1900019	[rxn29048]
TR0000266	[rxn08265]
TR0001113	[rxn08732]
TR0000029	[rxn08063]
TR0000149	[rxn08241]
TO3000241	[rxn29775]
TO3000366	[rxn05181]
TO3000003	[rxn08869]
TR0014659	[rxn08577]
TR1900004	[rxn05313]
TO3000364	[rxn05159]
TO3000369	[rxn05180]
TR0000371	[rxn09169]
TR0000133	[rxn10867]
TR0000012	[rxn29733]
TR0000254	[rxn05616]
TR0001101	[rxn31793]
TR0000132	[rxn05220]
TR2000119	[rxn13314]
TO3001329	[rxn10862]
TR2000117	[rxn41654]
TR0000136	[rxn09792]
TR1900009	[rxn10157]
TR0002431	[rxn34140]
TR1900008	[rxn08543]
TR0000013	[rxn05466]
TR0001107	[rxn08314]
TI3000628	[rxn09086]
TR0015574	[rxn09334]
TO3000191	[rxn18461]
TR0000081	[rxn09260]
TR0000080	[rxn08643]
TI3000620	[rxn09091]
TI3000982	[rxn18876]
TO3002014	[rxn08565]
TR0000084	[rxn08284]
TR2900081	[rxn29025]
TR0001171	[rxn08587]
TR0002027	[rxn08945]
TO3001275	[rxn05155]
TO3000184	[rxn10822]
TZ6900041	[rxn30481]
TO3002009	[rxn08559]
TR0000073	[rxn05667]
TO3002008	[rxn08561]
TO3002007	[rxn08553]
TR0000071	[rxn08032]
TO3002006	[rxn05158]
TR0000076	[rxn09275]
TR0000075	[rxn08999]
TR0003343	[rxn09183]
TR0001048	[rxn05506]
TR2000136	[rxn29120]
TR2000132	[rxn13229]
TO3000171	[rxn05185]
TO3000292	[rxn13853]
TO3000172	[rxn29769]
TO3000052	[rxn05170]
TO3000178	[rxn18465]
TO3001147	[rxn18657]
TR0002361	[rxn08006]
TR0000184	[rxn09299]
TR0000063	[rxn08186]
TR0000182	[rxn08069]
TR0000061	[rxn27360]
TR0000060	[rxn08920]
TR0000066	[rxn09118]
TR0000065	[rxn05222]
TR0000064	[rxn09048]
TR0003453	[rxn28793]
TR0003696	[rxn30248]
TR0000069	[rxn09339]
TR0001157	[rxn29180]
TR2000047	[rxn10860]
TR2000161	[rxn09304]
TO3000160	[rxn05147]
TO3001252	[rxn05172]
TO3001372	[rxn10883]
TO3001250	[rxn08192]
TO3000167	[rxn18450]
TO3000165	[rxn05162]
TO3000287	[rxn29768]
TR0001262	[rxn08876]
TR0000051	[rxn08155]
TR0000293	[rxn32306]
TO3001379	[rxn08304]
TR0000055	[rxn08461]
TR0000054	[rxn09248]
TR0000053	[rxn08625]
TR2000039	[rxn05305]
TR0000179	[rxn08874]
TR0000058	[rxn05212]
TR2000036	[rxn09270]
TR2000156	[rxn44043]
TR2000035	[rxn41551]
TR2000060	[rxn05615]
TO3000790	[rxn29219]
TR1000092	[rxn05197]
TR1100139	[rxn08652]
TO3000794	[rxn05219]
TR0001092	[rxn08117]
TO3000795	[rxn05613]
TR0003032	[rxn46935]
TO3000793	[rxn05174]
TO3000796	[rxn05183]
TR1100130	[rxn05207]
TO3000789	[rxn29218]
TO3001999	[rxn08924]
TR0003279	[rxn08344]
TR2000069	[rxn13411]
TR1001067	[rxn05692]
TR2900049	[rxn08216]
TR2000064	[rxn09731]
TR2900052	[rxn08628]
TR2900058	[rxn09767]
TR1100009	[rxn05210]
TR1100249	[rxn10895]
TR2900056	[rxn09273]
TR1100367	[rxn10857]
TO3000784	[rxn08676]
TO3000781	[rxn05175]
TO3000782	[rxn05163]
TO3000787	[rxn05153]
TO3000788	[rxn05619]
TO3000786	[rxn05176]
TI3000660	[rxn18345]
TR0003387	[rxn32983]
TR2000053	[rxn13301]
TR2000051	[rxn08154]
TI3001657	[rxn08280]
TR0004100	[rxn29104]
TO3000411	[rxn05146]
TO3001984	[rxn08191]
TO3000408	[rxn05152]
TR1001048	[rxn13759]
TR1000084	[rxn09690]
TR0000092	[rxn09366]
TR0000095	[rxn09771]
TR0000099	[rxn08234]
TR0000098	[rxn08214]
TR1000085	[rxn05495]
TR2900121	[rxn29232]
TR2900123	[rxn34080]
TO3001202	[rxn05539]
TO3000233	[rxn18423]
TO3000234	[rxn18458]
TR0003198	[rxn08908]
TI3000101	[rxn08787]
TO3001318	[rxn05165]
TR2900127	[rxn08152]
TO3000220	[rxn18419]
TR1900026	[rxn09049]
TO3001306	[rxn05169]
TR2000098	[rxn43355]
TO3000212	[rxn18456]
TO3000216	[rxn05167]
TO3001303	[rxn08097]
TI3000006	[rxn08715]
TO3000329	[rxn29779]
TO3000208	[rxn18467]
TO3000327	[rxn18475]
TR0015388	[rxn30261]
TR2900036	[rxn09283]
TO3000204	[rxn18452]
TO3000202	[rxn18472]
TO3000203	[rxn18445]
TO3000318	[rxn05160]
TR0030760	[rxn29147]
