TI3000083	[rxn18687]
TO3001801	[rxn18635]
TI3001051	[rxn18777]
TO3001806	[rxn18642]
TR0000971	[rxn08985]
TO3001805	[rxn05539]
TR1000041	[rxn05217]
TR1001251	[rxn48166]
TR0011691	[rxn38518]
TO3001088	[rxn05156]
TO3001087	[rxn05164]
TO3001086	[rxn05151]
TR0011574	[rxn08956]
TR0008288	[rxn29890]
TR0008287	[rxn29891]
TR0008043	[rxn39182]
TR0002862	[rxn29894]
TR0000680	[rxn30461]
TR0025981	[rxn29453]
TR0000565	[rxn32087]
TR0021149	[rxn46465]
TR0003718	[rxn29456]
TR0000448	[rxn08635]
TR0000205	[rxn05206]
TR0001536	[rxn29905]
TR0000209	[rxn09005]
TR0000208	[rxn08780]
TR0011685	[rxn09642]
TR0002611	[rxn08039]
TR1000305	[rxn09657]
TR1000307	[rxn05527]
TR1000549	[rxn05709]
TR1000309	[rxn05202]
TR0000311	[rxn08672]
TR0000552	[rxn29228]
TR0000794	[rxn09323]
TR0000438	[rxn08293]
TR0000315	[rxn29904]
TR0000314	[rxn08950]
TR0001524	[rxn29469]
TR0001407	[rxn29489]
TR0003705	[rxn29198]
TR1000637	[rxn12531]
TR0000306	[rxn09651]
TI3002192	[rxn18243]
TR0001757	[rxn08049]
TO3001051	[rxn18584]
TO3001050	[rxn05161]
TR0019028	[rxn34266]
TO3001054	[rxn18579]
TO3001053	[rxn05179]
TO3001052	[rxn05168]
TR0009225	[rxn39133]
TR1001608	[rxn44543]
TR0008132	[rxn46625]
TR1000644	[rxn05308]
TR0018050	[rxn29390]
TR0001743	[rxn33002]
TR0000412	[rxn08377]
TR0000654	[rxn08317]
TR0000532	[rxn09030]
TR0000653	[rxn08579]
TR0000531	[rxn05586]
TR0001627	[rxn29485]
TI3002182	[rxn09074]
TR0002835	[rxn29907]
TR0000417	[rxn05483]
TI3000904	[rxn18854]
TR2000540	[rxn41466]
TI3000907	[rxn18774]
TI3000906	[rxn18714]
TR0009058	[rxn29419]
TR0000001	[rxn05319]
TZ2900002	[rxn05209]
TR0000242	[rxn10826]
TZ2900003	[rxn05596]
TZ2900004	[rxn29260]
TR0002546	[rxn38758]
TR0000368	[rxn29481]
TR0000247	[rxn09050]
TR1000218	[rxn12806]
TR1000339	[rxn12566]
TR0000367	[rxn08290]
TR0001693	[rxn32764]
TR0000246	[rxn08754]
TR0000366	[rxn29487]
TR1001308	[rxn05711]
TR0000244	[rxn08991]
TZ2900009	[rxn08983]
TR0000009	[rxn09121]
TR0001217	[rxn09382]
TR0000249	[rxn09372]
TZ2900007	[rxn08233]
TR1003840	[rxn05715]
TZ2900008	[rxn41398]
TR0000232	[rxn08051]
TR0001441	[rxn29214]
TR1000104	[rxn09693]
TR1000107	[rxn05243]
TZ2900135	[rxn47173]
TR0000472	[rxn29908]
TR1000106	[rxn05561]
TR0000236	[rxn09765]
TR0000235	[rxn08880]
TR0001562	[rxn29454]
TR0001329	[rxn08870]
TR1001550	[rxn05723]
TR0000239	[rxn08689]
TR1000220	[rxn05645]
TR0000238	[rxn32530]
TZ2900137	[rxn46677]
TR1021149	[rxn45341]
TR1000587	[rxn12613]
TR0009394	[rxn29414]
TI3000925	[rxn18760]
TI3000803	[rxn18825]
TR2000680	[rxn30460]
TI3000809	[rxn18769]
TI3000928	[rxn18761]
TI3000806	[rxn18851]
TI3000801	[rxn18863]
TI3000921	[rxn18888]
TR0000100	[rxn05581]
TR0000220	[rxn05224]
TR0002886	[rxn29914]
TR0000588	[rxn09243]
TR1003828	[rxn07929]
TR0000103	[rxn09719]
TR0000224	[rxn08142]
TR0000102	[rxn31167]
TR0000223	[rxn08645]
TR0000101	[rxn09223]
TR0000222	[rxn08610]
TR0021004	[rxn29399]
TR0000108	[rxn08585]
TR2000322	[rxn13321]
TR0000229	[rxn09680]
TR0000349	[rxn32263]
TR1000550	[rxn05649]
TR0000348	[rxn08572]
TR0000105	[rxn09228]
TR0000589	[rxn29490]
TR0002528	[rxn29898]
TR0003738	[rxn29182]
TO3001095	[rxn10883]
TO3001094	[rxn08097]
TO3001093	[rxn08160]
TO3001092	[rxn05237]
TI3000912	[rxn18770]
TO3001098	[rxn05165]
TO3001097	[rxn05169]
TO3001096	[rxn10862]
TI3000910	[rxn18890]
TR0000573	[rxn08743]
TR0003721	[rxn29378]
TR0000691	[rxn33555]
TR0000212	[rxn05653]
TR0001307	[rxn29406]
TR0000217	[rxn29402]
TO3001091	[rxn05155]
TR0003845	[rxn29377]
TO3001090	[rxn10481]
TR1000320	[rxn12530]
TR1000322	[rxn05244]
TI3000825	[rxn18800]
TI3000824	[rxn18799]
TI3000828	[rxn18758]
TR2000467	[rxn12567]
TO3000154	[rxn30453]
TO3000034	[rxn18495]
TO3000155	[rxn05154]
TR0000041	[rxn08170]
TI3000944	[rxn18858]
TI3000820	[rxn18889]
TR0001490	[rxn38517]
TI3000941	[rxn18844]
TR0000280	[rxn08589]
TR0001012	[rxn08197]
TR0001133	[rxn28578]
TR0000043	[rxn09349]
TR0000163	[rxn29909]
TR2000107	[rxn13339]
TR0000284	[rxn32772]
TR2000227	[rxn08722]
TR0000048	[rxn05238]
TR0000047	[rxn08525]
TR0001257	[rxn32986]
TR0000288	[rxn05568]
TI3000934	[rxn18865]
TO3000263	[rxn29749]
TR1100644	[rxn09165]
TI3000818	[rxn18756]
TI3000939	[rxn18707]
TI3000817	[rxn18831]
TI3000938	[rxn18837]
TO3000382	[rxn05152]
TO3000385	[rxn05146]
TI3000812	[rxn18866]
TR0000030	[rxn08947]
TR0000272	[rxn32707]
TR0000150	[rxn08276]
TR0001481	[rxn29912]
TR0000392	[rxn29465]
TI3000931	[rxn18742]
TI3000930	[rxn18763]
TR0000155	[rxn05580]
TR0001486	[rxn29405]
TR0000034	[rxn09390]
TR0000397	[rxn29476]
TR0000276	[rxn08593]
TR0000154	[rxn09385]
TR0000033	[rxn05218]
TR0000396	[rxn09229]
TR6900007	[rxn27378]
TR0001242	[rxn29369]
TR0000037	[rxn09342]
TR0000157	[rxn05532]
TR0000277	[rxn08324]
TR1005036	[rxn28671]
TI3000728	[rxn18855]
TI3000847	[rxn18730]
TI3000846	[rxn18732]
TI3000725	[rxn18740]
TI3000962	[rxn18773]
TR1900014	[rxn08542]
TO3000134	[rxn18574]
TI3000840	[rxn18796]
TI3000961	[rxn18841]
TR1900016	[rxn09269]
TR1900015	[rxn08865]
TR0000382	[rxn28574]
TR0000261	[rxn09387]
TI3000844	[rxn18827]
TR1900012	[rxn08169]
TI3000721	[rxn18723]
