ser__L	cpd00054
12dgr180	cpd15311
pydx5p	cpd00016
hpyr	cpd00145
cdec3eACP	cpd15416
acmalt	cpd01441
malttr	cpd01262
4ppcys	cpd02666
3oocoa	cpd03121
2doxg6p	cpd03805
cobalt2	cpd00149
ppap	cpd01844
mqn8	cpd15500
ctp	cpd00052
ppal	cpd00371
ocdcea	cpd00536
aps	cpd00193
epmeACP	cpd27021
acon_C	cpd00331
cdpdtdec7eg	cpd15422
udcpp	cpd00286
udpgal	cpd00043
3otdcoa	cpd12689
actp	cpd00196
2ohph	cpd03445
aragund	cpd15410
cpgn	cpd15437
acon_T	cpd01563
gmeACP	cpd27180
grxrd	cpd15481
pan4p	cpd00834
tagdp__D	cpd02371
4mop	cpd00200
murein4p4p	cpd15505
citr__L	cpd00274
acmana	cpd00492
2ommbl	cpd15361
appl	cpd02039
5pg35pg	cpd18057
hhlipa	cpd15484
26dap_LL	cpd00504
r1p	cpd00475
ala_B	cpd00085
dsbaox	cpd15446
u23ga	cpd02835
athtp	cpd25974
dhnpt	cpd02961
ppa	cpd00141
murein4p3p	cpd15504
6hmhptpp	cpd16760
tddec2eACP	cpd11469
dsbcrd	cpd15449
sucr	cpd00076
ppi	cpd00012
betald	cpd00447
hdca	cpd00214
dhptd	cpd08636
tyr__L	cpd00069
flxr	cpd15465
3dhsk	cpd01716
succ	cpd00036
ppt	cpd04099
grxox	cpd15480
3htdcoa	cpd03115
prfp	cpd02979
gbbtn	cpd00870
cdpdtdecg	cpd15423
lipoate	cpd00541
mmet	cpd02027
quin	cpd00248
3odcoa	cpd03119
3ocmrs7eACP	cpd15374
anhgm3p	cpd15397
3hddcoa	cpd03116
pydam	cpd00419
grdp	cpd00283
tym	cpd00374
aconm	cpd08353
12dgr140	cpd15307
2dh3dgal6p	cpd00945
nmn	cpd00355
23dappa	cpd02150
no2	cpd00075
no3	cpd00209
quln	cpd02333
malcoa	cpd00070
murein5px3p	cpd15513
10fthf	cpd00201
atp	cpd00002
myrsACP	cpd11466
sulfac	cpd09878
unagamu	cpd15581
cholate	cpd00526
cpgn_un	cpd15438
mdhdhf	cpd22811
lipoamp	cpd14955
anhgm4p	cpd15398
duri	cpd00412
sucarg	cpd02103
maltpt	cpd15495
thmpp	cpd00056
tpalm2eACP	cpd11477
camp	cpd00446
12dgr141	cpd15308
2ddecg3p	cpd15350
murein5px4p	cpd15514
dhpmp	cpd03521
tdecoa	cpd15295
feoxam	cpd04761
fpram	cpd02826
pser__L	cpd00738
12dgr160	cpd15309
mthgxl	cpd00428
12dgr161	cpd15310
r5p	cpd19028
murein4px4p	cpd15506
met__D	cpd00637
enlipa	cpd15459
met__L	cpd00060
fuc__L	cpd00751
ahdt	cpd02978
o16a4colipa	cpd15518
cxsam	cpd35531
dutp	cpd00358
3hadpcoa	cpd09844
gcald	cpd00229
glcur	cpd00164
etoh	cpd00363
dsbard	cpd15447
psuri	cpd01405
LalaLglu	cpd15388
acgam	cpd00122
acgal	cpd00832
glu5sa	cpd00858
galctn__D	cpd00653
cdpdhdec9eg	cpd15418
cpmp	cpd19505
ptrc	cpd00118
gmhep1p	cpd04920
fad	cpd00015
cyan	cpd00150
Nmtrp	cpd01911
eca4und	cpd15458
hg2	cpd00531
ps120	cpd15552
man1p	cpd00485
ap5a	cpd02511
3ooctdACP	cpd15377
2odec11eg3p	cpd15357
23cump	cpd01572
enter	cpd03453
nicrnt	cpd00873
sucsal	cpd00199
ocdca	cpd01080
3hppnl	cpd00714
2agpg160	cpd25200
2agpg161	cpd15347
lyx__L	cpd01067
3oddcoa	cpd03117
4c2me	cpd08287
